


--------------------------------------------
Algorithm: 0
--------------------------------------------


Procs: 26

Test: 1
# OSU MPI Broadcast Latency Test v7.3
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations  P50 Tail Lat(us)  P95 Tail Lat(us)  P99 Tail Lat(us)
1048576               602.59            468.39            697.95         100            598.96            617.10            668.87

Test: 2
# OSU MPI Broadcast Latency Test v7.3
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations  P50 Tail Lat(us)  P95 Tail Lat(us)  P99 Tail Lat(us)
1                       1.05              0.53              3.74        1000              1.04              1.21              1.57
2                       1.06              0.52              3.75        1000              1.03              1.18              1.78
4                       1.05              0.54              3.72        1000              1.03              1.19              2.05
8                       1.06              0.55              3.72        1000              1.04              1.19              1.65
16                      1.05              0.52              3.69        1000              1.03              1.20              1.41
32                      1.42              0.81              4.04        1000              1.39              1.67              1.97
64                      1.46              0.75              3.98        1000              1.45              1.67              1.88
128                     2.16              1.21              5.06        1000              2.11              2.36              3.75
256                     2.32              1.30              5.07        1000              2.28              2.50              3.23
512                     2.56              1.54              5.41        1000              2.53              2.76              3.33
1024                    3.22              2.02              6.12        1000              3.18              3.41              3.97
2048                    4.49              2.83              7.37        1000              4.45              4.70              5.48
4096                    6.69              3.18             10.53        1000              6.63              7.10              9.93
8192                   10.43              5.73             16.06        1000             10.37             10.83             15.11
16384                  21.04             10.22             32.91         100             20.39             25.27             27.25
32768                  37.28             18.78             56.29         100             37.42             40.80             43.25
65536                  68.33             33.77            101.98         100             68.67             73.96             75.08
131072                132.00             63.86            190.17         100            132.15            140.24            142.80
262144                255.46            124.36            367.28         100            255.26            266.10            268.47
524288                497.68            244.54            715.14         100            496.78            512.70            514.38
1048576               601.72            461.13            697.68         100            599.94            616.63            651.95

Test: 3
# OSU MPI Broadcast Latency Test v7.3
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations  P50 Tail Lat(us)  P95 Tail Lat(us)  P99 Tail Lat(us)
1                       1.04              0.50              3.73        1000              1.02              1.20              1.60
2                       1.09              0.57              3.79        1000              1.02              1.19              1.50
4                       1.04              0.49              3.69        1000              1.02              1.19              1.55
8                       1.04              0.50              3.69        1000              1.02              1.19              1.44
16                      1.07              0.52              3.71        1000              1.03              1.19              1.96
32                      1.40              0.78              4.03        1000              1.38              1.64              1.77
64                      1.41              0.73              4.01        1000              1.37              1.60              2.35
128                     2.14              1.20              5.28        1000              2.11              2.33              3.29
256                     2.28              1.27              5.33        1000              2.25              2.46              2.77
512                     2.56              1.54              5.57        1000              2.51              2.74              4.22
1024                    3.23              2.05              6.29        1000              3.19              3.45              4.28
2048                    4.45              2.77              7.42        1000              4.42              4.70              5.47
4096                    6.69              3.17             10.53        1000              6.63              7.10              9.62
8192                   10.08              5.17             15.75        1000             10.05             10.49             12.08
16384                  20.58              9.60             32.03         100             20.25             23.47             25.43
32768                  36.77             17.56             56.23         100             37.10             40.51             42.84
65536                  67.08             32.81            101.44         100             67.20             71.78             77.67
131072                130.55             61.84            187.79         100            130.64            137.35            141.04
262144                249.88            120.56            354.92         100            248.86            262.31            269.67
524288                499.15            246.28            711.01         100            500.81            510.96            512.17
1048576               599.98            455.95            696.09         100            597.72            621.05            628.66

Test: 4
# OSU MPI Broadcast Latency Test v7.3
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations  P50 Tail Lat(us)  P95 Tail Lat(us)  P99 Tail Lat(us)
1                       1.09              0.51              3.77        1000              1.07              1.25              1.77
2                       1.07              0.50              3.73        1000              1.06              1.21              1.50
4                       1.08              0.50              3.71        1000              1.06              1.22              1.36
8                       1.11              0.56              3.78        1000              1.07              1.21              1.39
16                      1.09              0.49              3.72        1000              1.06              1.24              1.64
32                      1.44              0.82              4.06        1000              1.42              1.68              1.84
64                      1.48              0.72              4.05        1000              1.46              1.69              2.52
128                     2.18              1.24              5.05        1000              2.12              2.38              3.36
256                     2.36              1.38              5.14        1000              2.30              2.58              3.89
512                     2.54              1.48              5.37        1000              2.51              2.72              3.31
1024                    3.23              2.00              6.09        1000              3.20              3.43              4.08
2048                    4.49              2.80              7.31        1000              4.44              4.72              5.47
4096                    6.45              2.95             10.18        1000              6.39              6.90              9.74
8192                    9.99              5.23             15.58        1000              9.93             10.38             13.42
16384                  21.07             10.22             31.41         100             19.99             23.65             28.32
32768                  37.57             17.99             56.32         100             37.30             41.63             45.65
65536                  67.45             32.13             99.28         100             67.89             72.59             73.77
131072                130.18             61.30            186.24         100            130.92            136.88            138.40
262144                250.97            119.74            358.56         100            250.52            261.78            264.17
524288                490.82            237.64            704.15         100            490.68            505.52            509.99
1048576               605.72            472.84            700.54         100            602.38            625.74            717.67

Test: 5
# OSU MPI Broadcast Latency Test v7.3
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations  P50 Tail Lat(us)  P95 Tail Lat(us)  P99 Tail Lat(us)
1                       1.06              0.49              3.66        1000              1.04              1.22              1.72
2                       1.05              0.47              3.65        1000              1.04              1.20              1.29
4                       1.14              0.57              3.75        1000              1.05              1.25              1.49
8                       1.06              0.50              3.66        1000              1.05              1.18              1.71
16                      1.07              0.50              3.67        1000              1.05              1.23              1.48
32                      1.43              0.80              4.05        1000              1.40              1.67              1.94
64                      1.49              0.75              4.01        1000              1.46              1.68              2.17
128                     2.19              1.22              5.05        1000              2.11              2.51              3.71
256                     2.31              1.31              5.12        1000              2.27              2.51              3.45
512                     2.55              1.47              5.38        1000              2.52              2.73              3.69
1024                    3.23              2.04              6.14        1000              3.19              3.42              4.49
2048                    4.54              2.82              7.37        1000              4.50              4.76              5.43
4096                    6.63              3.18             10.50        1000              6.58              7.17              8.49
8192                   10.13              5.17             15.73        1000             10.11             10.54             12.05
16384                  20.08             10.43             29.95         100             19.60             23.63             25.97
32768                  35.54             18.06             51.41         100             35.21             39.64             42.84
65536                  65.14             31.82             96.21         100             64.42             69.80             73.33
131072                129.55             60.54            183.90         100            129.06            136.81            142.58
262144                249.57            118.41            353.54         100            249.20            258.09            266.04
524288                486.84            237.12            674.65         100            485.78            503.14            508.31
1048576               599.06            450.78            696.18         100            597.95            614.25            628.03


Procs: 32

Test: 1
# OSU MPI Broadcast Latency Test v7.3
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations  P50 Tail Lat(us)  P95 Tail Lat(us)  P99 Tail Lat(us)
1                       1.99              0.65              4.22        1000              1.85              2.09              3.25
2                       1.90              0.66              3.97        1000              1.84              2.16              3.05
4                       1.92              0.69              3.96        1000              1.83              2.11              2.76
8                       1.85              0.65              3.91        1000              1.83              2.14              2.46
16                      1.82              0.65              3.83        1000              1.79              2.09              2.69
32                      2.28              0.76              4.70        1000              2.21              3.04              3.29
64                      2.45              0.79              5.33        1000              2.30              2.87              4.18
128                     3.13              1.56              5.88        1000              3.03              3.77              5.53
256                     3.17              1.60              6.13        1000              3.11              3.45              4.42
512                     3.41              1.59              6.66        1000              3.34              3.79              5.20
1024                    3.96              1.88              7.44        1000              3.91              4.35              5.39
2048                    5.43              3.58              9.33        1000              5.39              5.68              6.87
4096                    7.99              5.50             13.03        1000              7.95              8.31              9.44
8192                   11.84              8.06             18.81        1000             11.75             12.30             14.51
16384                  24.33             13.31             31.66         100             24.15             26.78             28.48
32768                  42.12             22.36             54.60         100             41.54             47.26             48.10
65536                  84.13             42.09            107.77         100             83.13             91.11             92.88
131072                169.51             80.20            236.52         100            168.67            179.78            181.87
262144                342.70            158.07            487.85         100            342.75            360.04            364.86
524288                673.99            314.52            973.80         100            672.46            702.34            716.82
1048576              1109.02            362.93           1674.78         100           1107.90           1140.72           1154.08

Test: 2
# OSU MPI Broadcast Latency Test v7.3
