


--------------------------------------------
Algorithm: 0
--------------------------------------------


Procs: 2

Iter: 1
# OSU MPI Broadcast Latency Test v7.3
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations  P50 Tail Lat(us)  P95 Tail Lat(us)  P99 Tail Lat(us)
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations  P50 Tail Lat(us)  P95 Tail Lat(us)  P99 Tail Lat(us)
1                       0.37              0.16              0.48       10000              0.35              0.45              0.56
2                       0.37              0.15              0.49       10000              0.35              0.42              0.51
4                       0.38              0.16              0.49       10000              0.36              0.44              0.52
8                       0.37              0.14              0.50       10000              0.35              0.49              0.52
16                      0.37              0.16              0.48       10000              0.35              0.43              0.51
32                      0.38              0.17              0.49       10000              0.35              0.53              0.76
64                      0.39              0.21              0.51       10000              0.36              0.49              0.62
128                     0.74              0.52              0.91       10000              0.74              0.94              0.96
256                     0.74              0.53              0.84       10000              0.71              0.90              1.01
512                     0.98              0.70              1.20       10000              0.95              1.22              1.37
1024                    0.95              0.59              1.19       10000              0.92              1.15              1.24
2048                    1.57              1.05              1.97       10000              1.54              1.81              1.93
4096                    2.58              1.90              3.06       10000              2.57              2.89              3.04
8192                    4.07              0.90              6.25       10000              3.94              4.44              4.89
16384                   7.67              6.80              8.70       10000              7.32              9.02             11.14
32768                   9.91              8.95             10.92       10000              9.35             12.62             14.46
65536                  17.59             16.69             18.63       10000             17.11             22.44             25.26
131072                 34.98             34.30             36.81       10000             36.71             51.13             54.35
262144                 73.26             72.34             75.76       10000             75.19             94.95            102.72
524288                165.11            163.49            168.97       10000            174.45            225.63            236.45
1048576               378.08            215.69            454.46       10000            370.02            395.11            563.96

Iter: 100000
# OSU MPI Broadcast Latency Test v7.3
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations  P50 Tail Lat(us)  P95 Tail Lat(us)  P99 Tail Lat(us)
1                       0.37              0.17              0.47      100000              0.35              0.44              0.47
2                       0.38              0.15              0.48      100000              0.36              0.46              0.52
4                       0.37              0.16              0.48      100000              0.35              0.44              0.46
8                       0.37              0.15              0.49      100000              0.36              0.42              0.57
16                      0.37              0.16              0.48      100000              0.36              0.42              0.43
